"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"3843","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","3846","0.0-0.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","","","","","","","","","","","","","",""
"4627","","","survey-multi-choice","1","8476","0.0-1.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2402","","","survey-multi-choice","2","10879","0.0-3.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"4812","","","survey-text","3","15694","0.0-5.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","{""Q0"":""59959d5060937e00018996f0""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","18164","0.0-6.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","","","true","","","","","","","","","","",""
"30081","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","48247","0.0-7.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","instructions","","","","","","","","","","","","",""
"4530","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","52779","0.0-8.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","instructions","","","","","","","","","","","","",""
"2578","","0","html-button-response","7","55359","0.0-9.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","","","","","","","","","","","","","",""
"2065.7999999821186","stim/13.png,stim/14.png","","cta-radio","8","57426","0.0-10.0-0.0-1.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","trial","","","stim/13.png","635,634,630,625,613,601,589,562,539,516,484,467,447,435,428,421,417,414,411,410,409,406,405,401,397,394,389,387,383,381,379,378,376,375,372","560,552,535,519,497,480,462,430,403,379,339,316,287,271,260,249,246,244,241,240,240,240,239,237,236,234,232,230,229,227,225,225,225,225,225","1710164232498,1710164232518,1710164232534,1710164232551,1710164232568,1710164232584,1710164232601,1710164232618,1710164232634,1710164232651,1710164232668,1710164232684,1710164232701,1710164232718,1710164232734,1710164232751,1710164232768,1710164232784,1710164232801,1710164232818,1710164232834,1710164232851,1710164233176,1710164233196,1710164233213,1710164233230,1710164233246,1710164233263,1710164233280,1710164233296,1710164233313,1710164233330,1710164233346,1710164233363,1710164233380","57429.60000002384","hidden","0","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","9","57532","0.0-10.0-0.0-2.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","fixationMouse","","","","","","","","","","","","null",""
"4109","How much conflict did you experience in making this decision?:","","html-slider-response","10","62145","0.0-10.0-0.0-3.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","Slider","","","","","","","","","-1","","","","5413"
"2796","","0","html-button-response","11","64944","0.0-10.0-0.0-4.0","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","","","","","","","","","","","","","",""
"1685","stim/15.png,stim/16.png","","cta-radio","12","66630","0.0-10.1-0.1-1.1","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","trial","","","stim/15.png","641,641,641,641,641,639,638,632,627,620,605,593,582,564,554,543,537,535,530,529,528,533,559,578,596,611,614,616,617,610,573,544,512,478,460,445,432,426,420,418,417,415,414","561,549,528,512,484,465,442,413,392,378,352,337,326,311,301,291,288,287,284,283,283,282,273,270,268,267,267,267,267,267,262,258,253,245,240,238,235,234,234,234,234,234,234","1710164242026,1710164242046,1710164242063,1710164242080,1710164242097,1710164242113,1710164242130,1710164242147,1710164242163,1710164242180,1710164242196,1710164242213,1710164242230,1710164242247,1710164242263,1710164242280,1710164242297,1710164242313,1710164242330,1710164242346,1710164242363,1710164242719,1710164242739,1710164242756,1710164242773,1710164242789,1710164242806,1710164242823,1710164242839,1710164242872,1710164242889,1710164242906,1710164242923,1710164242939,1710164242956,1710164242973,1710164242989,1710164243006,1710164243023,1710164243039,1710164243056,1710164243073,1710164243089","66957.80000001192","hidden","1","stim/15.png","stim/16.png","",""
"null","","","html-keyboard-response","13","66736","0.0-10.1-0.1-2.1","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","fixationMouse","","","","","","","","","","","","null",""
"2941","How much conflict did you experience in making this decision?:","","html-slider-response","14","70196","0.0-10.1-0.1-3.1","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","Slider","","","","","","","","","-1","","","","4249"
"845","","0","html-button-response","15","71044","0.0-10.1-0.1-4.1","First_First","Male","59959d5060937e00018996f0","5","To decide between options","","yes","Right handed","26","","","","","","","","","","","","","","","",""
