"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"10890","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","10891","0.0-0.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","","","","","","","","","","","","","",""
"3207","","","survey-multi-choice","1","14099","0.0-1.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"3127","","","survey-multi-choice","2","17227","0.0-3.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"2975","","","survey-text","3","20203","0.0-5.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","{""Q0"":""5a9b273089de8200013f0bca""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","23042","0.0-6.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","","","true","","","","","","","","","","",""
"14136","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","37179","0.0-7.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","instructions","","","","","","","","","","","","",""
"7296","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","44475","0.0-8.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","instructions","","","","","","","","","","","","",""
"2568","","0","html-button-response","7","47043","0.0-9.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","","","","","","","","","","","","","",""
"4009.599999997765","stim/14.png,stim/13.png","","cta-radio","8","51054","0.0-10.0-0.0-1.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","trial","","","stim/13.png","955,962,980,1011,1047,1086,1117,1140,1157,1166,1172,1175,1176,1178,1180,1181,1182,1184,1185,1187,1188,1189,1191,1192,1193,1195,1196,1198,1199,1200,1203,1205,1208,1210,1212,1214,1215,1215,1216,1216,1217,1217,1217,1217","848,835,797,727,654,585,534,494,465,448,437,432,428,422,418,413,410,406,404,400,398,396,395,393,391,388,387,385,383,379,375,370,365,360,358,355,354,353,351,350,348,347,346,345","1710163823165,1710163823181,1710163823198,1710163823214,1710163823231,1710163823248,1710163823264,1710163823281,1710163823298,1710163823314,1710163823331,1710163823348,1710163823364,1710163823381,1710163823398,1710163823414,1710163823431,1710163823448,1710163823464,1710163823481,1710163823498,1710163823514,1710163823531,1710163823548,1710163823564,1710163823581,1710163823598,1710163823614,1710163823631,1710163823648,1710163823664,1710163823681,1710163823698,1710163823714,1710163823731,1710163823748,1710163823764,1710163823781,1710163823798,1710163823814,1710163823848,1710163823864,1710163823881,1710163823898","49152.5","hidden","0","stim/14.png","stim/13.png","",""
"null","<font size=""+3"">Please start moving the cursor sooner, even if you are not yet fully certain of your decision.</font>","","html-keyboard-response","9","55164","0.0-10.0-0.0-2.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","fixationMouse","","","","","","","","","","","","null",""
"6046","How much conflict did you experience in making this decision?:","","html-slider-response","10","61723","0.0-10.0-0.0-3.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","Slider","","","","","","","","","-1","","","","1238"
"3055","","0","html-button-response","11","64779","0.0-10.0-0.0-4.0","First_First","Female","5a9b273089de8200013f0bca","3","To decide between options","","yes","Right handed","32","very long I started getting bored towards the end","","","","","","","","","","","","","","",""
