"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"2682","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","2684","0.0-0.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"2629","","","survey-multi-choice","1","5316","0.0-1.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2298","","","survey-multi-choice","2","7616","0.0-3.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"5198","","","survey-text","3","12817","0.0-5.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","{""Q0"":""60f19b1807eb96e727acb757""}","prolific","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","15432","0.0-6.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","true","","","","","","","","","","",""
"10449","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","25883","0.0-7.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","instructions","","","","","","","","","","","","",""
"4916","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","30799","0.0-8.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","instructions","","","","","","","","","","","","",""
"2332","","0","html-button-response","7","33132","0.0-9.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"1610.0999999996275","stim/15.png,stim/16.png","","cta-radio","8","34744","0.0-10.0-0.0-1.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","trial","","","stim/16.png","898,898,898,898,898,900,901,904,905,907,915,922,934,941,954,961,970,974,980,982,981,979,977,968,952,943,931,925,907,891,850,829,799,784,769,746,737,721,710,699,694,682,674,665,662,659,658,657,655,653,651,649,648,647,646,646,646,645,644,644,643,643,643,643,643,643,642,642,642,642,642,643,645,660,673,751,791,900,937,1048,1085,1158,1172,1189,1207,1212","872,871,871,869,867,862,860,850,845,836,813,797,769,752,721,701,668,645,603,580,543,521,496,446,408,395,381,378,371,367,363,363,362,362,363,365,366,366,366,366,366,366,366,365,365,364,364,363,362,361,360,359,358,357,357,356,356,355,355,354,353,353,352,352,351,351,351,351,351,350,350,350,349,347,346,348,350,355,356,358,358,357,356,355,353,353","1710163410724,1710163410741,1710163410758,1710163410774,1710163410792,1710163410808,1710163410825,1710163410842,1710163410858,1710163410874,1710163410891,1710163410907,1710163410925,1710163410942,1710163410959,1710163410974,1710163410992,1710163411009,1710163411024,1710163411042,1710163411059,1710163411074,1710163411092,1710163411109,1710163411124,1710163411142,1710163411158,1710163411174,1710163411192,1710163411208,1710163411224,1710163411242,1710163411258,1710163411274,1710163411291,1710163411308,1710163411324,1710163411342,1710163411358,1710163411374,1710163411391,1710163411408,1710163411425,1710163411441,1710163411459,1710163411474,1710163411491,1710163411508,1710163411524,1710163411542,1710163411557,1710163411574,1710163411591,1710163411608,1710163411624,1710163411642,1710163411657,1710163411674,1710163411692,1710163411708,1710163411725,1710163411741,1710163411758,1710163411774,1710163411792,1710163411808,1710163411824,1710163411842,1710163411859,1710163411874,1710163411911,1710163411924,1710163411942,1710163411958,1710163411974,1710163411991,1710163412008,1710163412024,1710163412042,1710163412058,1710163412075,1710163412092,1710163412108,1710163412124,1710163412142,1710163412158","34514.300000000745","hidden","0","stim/15.png","stim/16.png","",""
"null","","","html-keyboard-response","9","34846","0.0-10.0-0.0-2.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","fixationMouse","","","","","","","","","","","","null",""
"4281","How much conflict did you experience in making this decision?:","","html-slider-response","10","39632","0.0-10.0-0.0-3.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","Slider","","","","","","","","","-1","","","","3179"
"2615","","0","html-button-response","11","42249","0.0-10.0-0.0-4.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"1260.5","stim/13.png,stim/14.png","","cta-radio","12","43511","0.0-10.1-0.1-1.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","trial","","","stim/14.png","922,922,921,921,921,922,924,925,929,931,937,941,950,956,968,978,995,1014,1018,1013,1005,988,976,950,934,913,905,899,888,886,884,884,884,884,884,883,882,882,882,882,888,898,921,979,1022,1103,1144,1186,1193,1196,1196","873,873,872,870,865,862,855,852,845,840,830,823,805,791,757,731,675,576,539,488,466,443,434,425,422,419,418,418,417,417,417,417,417,417,417,416,416,416,416,416,414,412,407,396,388,372,365,357,355,353,353","1710163419858,1710163419874,1710163419892,1710163419907,1710163419924,1710163419941,1710163419958,1710163419974,1710163419991,1710163420008,1710163420024,1710163420041,1710163420057,1710163420074,1710163420091,1710163420107,1710163420124,1710163420158,1710163420174,1710163420192,1710163420208,1710163420224,1710163420242,1710163420257,1710163420275,1710163420291,1710163420308,1710163420324,1710163420342,1710163420357,1710163420374,1710163420408,1710163420472,1710163420492,1710163420508,1710163420524,1710163420541,1710163420558,1710163420574,1710163420652,1710163420674,1710163420692,1710163420708,1710163420724,1710163420741,1710163420758,1710163420774,1710163420791,1710163420807,1710163420824,1710163420840","43648.59999999963","hidden","1","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","13","43612","0.0-10.1-0.1-2.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","fixationMouse","","","","","","","","","","","","null",""
"4334","How much conflict did you experience in making this decision?:","","html-slider-response","14","48448","0.0-10.1-0.1-3.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","Slider","","","","","","","","","-1","","","","6298"
"1599","","0","html-button-response","15","50049","0.0-10.1-0.1-4.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"948","You are now ready to begin the task.","0","html-button-response","16","50997","0.0-11.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","[object Object]","","","","","","","","","","","","",""
"1367","","0","html-button-response","17","52365","0.0-12.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"1210.9000000003725","stim/4.png,stim/8.png","","cta-radio","18","53577","0.0-13.0-0.0-1.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","trial","","","stim/8.png","913,914,911,910,915,919,929,933,936,938,938,938,938,937,935,934,932,932,931,931,930,929,917,908,876,859,805,788,744,733,714,709,705,705,705,706,723,737,765,843,877,950,983,1015,1025,1031,1033,1033,1033,1034,1036,1039,1044,1051,1057,1071,1081,1111,1122,1148,1161,1171,1171","872,863,828,801,756,731,696,685,671,656,651,644,640,636,625,619,599,591,568,560,541,535,515,507,485,476,454,448,433,430,426,425,425,425,425,424,418,414,407,390,385,374,370,364,361,359,359,358,358,358,357,357,356,356,355,354,354,353,352,351,350,351,351","1710163429957,1710163429974,1710163429991,1710163430008,1710163430024,1710163430040,1710163430058,1710163430074,1710163430091,1710163430124,1710163430142,1710163430157,1710163430174,1710163430190,1710163430208,1710163430224,1710163430241,1710163430257,1710163430275,1710163430291,1710163430308,1710163430325,1710163430341,1710163430358,1710163430374,1710163430391,1710163430408,1710163430425,1710163430441,1710163430458,1710163430474,1710163430491,1710163430508,1710163430525,1710163430574,1710163430591,1710163430607,1710163430624,1710163430641,1710163430657,1710163430674,1710163430691,1710163430707,1710163430724,1710163430741,1710163430758,1710163430774,1710163430792,1710163430808,1710163430824,1710163430841,1710163430858,1710163430874,1710163430891,1710163430908,1710163430924,1710163430942,1710163430958,1710163430975,1710163430991,1710163431008,1710163431024,1710163431040","53748.09999999963","hidden","0","stim/4.png","stim/8.png","",""
"null","","","html-keyboard-response","19","53679","0.0-13.0-0.0-2.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","fixationMouse","","","","","","","","","","","","null",""
"2219","How much conflict did you experience in making this decision?:","","html-slider-response","20","56398","0.0-13.0-0.0-3.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","Slider","","","","","","","","","0","","","","3590"
"1399","","0","html-button-response","21","57799","0.0-13.0-0.0-4.0","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"1094.0999999996275","stim/11.png,stim/9.png","","cta-radio","22","58894","0.0-13.1-0.1-1.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","trial","","","stim/9.png","911,911,911,913,926,937,957,967,978,983,989,991,992,993,993,991,990,987,986,982,980,975,974,971,970,967,963,950,943,913,902,864,850,803,788,762,758,757,761,768,789,853,902,993,1039,1088,1099,1105,1105","872,869,856,845,820,802,768,745,709,691,663,649,639,619,612,595,591,580,576,567,564,555,552,544,540,535,524,504,493,457,446,414,402,369,361,349,347,347,346,345,343,344,345,347,347,346,345,344,344","1710163435390,1710163435408,1710163435424,1710163435441,1710163435458,1710163435474,1710163435491,1710163435508,1710163435523,1710163435541,1710163435557,1710163435575,1710163435590,1710163435608,1710163435624,1710163435641,1710163435658,1710163435674,1710163435691,1710163435708,1710163435724,1710163435741,1710163435758,1710163435774,1710163435790,1710163435807,1710163435824,1710163435840,1710163435857,1710163435873,1710163435891,1710163435908,1710163435924,1710163435941,1710163435958,1710163435974,1710163435991,1710163436007,1710163436040,1710163436058,1710163436074,1710163436091,1710163436107,1710163436124,1710163436140,1710163436157,1710163436174,1710163436191,1710163436208","59180.90000000037","hidden","1","stim/11.png","stim/9.png","",""
"null","","","html-keyboard-response","23","58996","0.0-13.1-0.1-2.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","fixationMouse","","","","","","","","","","","","null",""
"2151","How much conflict did you experience in making this decision?:","","html-slider-response","24","61648","0.0-13.1-0.1-3.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","Slider","","","","","","","","","1","","","","1722"
"1065","","0","html-button-response","25","62715","0.0-13.1-0.1-4.1","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","","","","","","","","","","","","","",""
"1109.7999999988824","stim/4.png,stim/2.png","","cta-radio","26","63826","0.0-13.2-0.2-1.2","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","trial","","","stim/4.png","914,913,913,913,915,916,922,926,939,946,967,974,987,990,993,993,990,982,977,972,971,970,970,970,970,971,971,970,967,949,929,903,851,822,779,762,746,739,724,714,700,693,680,670,650,641,637","878,878,875,874,870,867,857,852,831,819,774,755,701,682,631,614,593,566,555,547,545,545,545,545,544,544,543,542,539,524,509,490,453,435,410,402,393,390,384,381,376,374,369,365,358,356,355","1710163440341,1710163440357,1710163440374,1710163440390,1710163440408,1710163440425,1710163440441,1710163440458,1710163440475,1710163440491,1710163440507,1710163440525,1710163440540,1710163440558,1710163440574,1710163440591,1710163440607,1710163440624,1710163440641,1710163440658,1710163440674,1710163440691,1710163440879,1710163440891,1710163440907,1710163440923,1710163440941,1710163440957,1710163440975,1710163440991,1710163441007,1710163441024,1710163441041,1710163441057,1710163441075,1710163441091,1710163441108,1710163441124,1710163441141,1710163441158,1710163441174,1710163441191,1710163441208,1710163441225,1710163441241,1710163441258,1710163441274","64131.70000000112","hidden","2","stim/4.png","stim/2.png","",""
"null","","","html-keyboard-response","27","63929","0.0-13.2-0.2-2.2","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","fixationMouse","","","","","","","","","","","","null",""
"1918","How much conflict did you experience in making this decision?:","","html-slider-response","28","66348","0.0-13.2-0.2-3.2","Second_First","Female","60f19b1807eb96e727acb757","5","To decide between options","","yes","Right handed","23","There were times where I put click on the slider and move it but I still got the warning message to slide the slider again. This led me to move the slider slightly more than I initially did","","Slider","","","","","","","","","2","","","","6982"
