"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"1451","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","1453","0.0-0.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","","","","","","","","","","","","","",""
"1622","","","survey-multi-choice","1","3076","0.0-1.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"1679","","","survey-multi-choice","2","4756","0.0-3.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"2471","","","survey-text","3","7228","0.0-5.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","{""Q0"":""62fb79096561b48adbb54797""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","9855","0.0-6.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","","","true","","","","","","","","","","",""
"8068","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","17924","0.0-7.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","instructions","","","","","","","","","","","","",""
"5632","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","23556","0.0-8.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","instructions","","","","","","","","","","","","",""
"1927","","0","html-button-response","7","25484","0.0-9.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","","","","","","","","","","","","","",""
"2354.10000000149","stim/15.png,stim/16.png","","cta-radio","8","27840","0.0-10.0-0.0-1.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","trial","","","stim/15.png","990,990,990,989,987,981,971,953,929,893,854,811,778,753,732,718,710,704,699,694,687,681,676,675","850,849,848,847,844,836,821,796,763,715,665,613,568,528,484,449,415,381,352,330,312,302,295,293","1710163467024,1710163467074,1710163467090,1710163467124,1710163467140,1710163467157,1710163467173,1710163467190,1710163467207,1710163467224,1710163467240,1710163467257,1710163467273,1710163467290,1710163467307,1710163467323,1710163467340,1710163467357,1710163467373,1710163467390,1710163467407,1710163467423,1710163467440,1710163467457","27396.5","shown","0","stim/15.png","stim/16.png","",""
"null","","","html-keyboard-response","9","27954","0.0-10.0-0.0-2.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","fixationMouse","","","","","","","","","","","","null",""
"2842","How much conflict did you experience in making this decision?:","","html-slider-response","10","31300","0.0-10.0-0.0-3.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","Slider","","","","","","","","","-1","","","","6188"
"1871","","0","html-button-response","11","33172","0.0-10.0-0.0-4.0","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","","","","","","","","","","","","","",""
"2962.60000000149","stim/13.png,stim/14.png","","cta-radio","12","36136","0.0-10.1-0.1-1.1","Second_First","Male","62fb79096561b48adbb54797","5","","","yes","Right handed","21","","","trial","","","stim/14.png","963,963,966,975,985,1000,1020,1042,1067,1098,1127,1155,1177,1194,1209,1219,1228,1237,1244,1251,1259,1264,1268,1272,1274,1276,1276,1277,1278,1279,1279,1279,1279","849,848,844,832,817,792,759,724,687,651,623,597,576,557,536,516,500,483,469,457,444,433,422,412,402,393,384,376,370,365,362,360,359","1710163475601,1710163476581,1710163476590,1710163476607,1710163476623,1710163476640,1710163476657,1710163476673,1710163476690,1710163476707,1710163476723,1710163476740,1710163476757,1710163476773,1710163476790,1710163476807,1710163476823,1710163476840,1710163476857,1710163476873,1710163476890,1710163476907,1710163476923,1710163476940,1710163476957,1710163476973,1710163476990,1710163477007,1710163477023,1710163477040,1710163477057,1710163477073,1710163477090","35974.09999999404","shown","1","stim/13.png","stim/14.png","",""
