"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"17401","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","17404","0.0-0.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","","","","","","","","","","","","","",""
"27163","","","survey-multi-choice","1","44572","0.0-1.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"11683","","","survey-multi-choice","2","56260","0.0-3.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"6258","","","survey-text","3","62523","0.0-5.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","{""Q0"":""6385c8a3040045c66816d34d""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","72276","0.0-6.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","","","true","","","","","","","","","","",""
"65637","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","137916","0.0-7.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","instructions","","","","","","","","","","","","",""
"16749","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","154668","0.0-8.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","instructions","","","","","","","","","","","","",""
"4613","","0","html-button-response","7","159284","0.0-9.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","","","","","","","","","","","","","",""
"987.7000000476837","stim/13.png,stim/14.png","","cta-radio","8","160281","0.0-10.0-0.0-1.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","trial","","","stim/13.png","675,672,668,664,645,629,613,601,590,582,571,557,541,521,510,498,487,469,448,426,408,390,375,368,363,360,360,359,358,357,357,357,357","589,589,591,591,591,591,584,578,568,558,540,516,492,456,435,414,395,373,349,324,302,283,264,254,243,230,225,221,216,211,208,205,203","1710164000612,1710164000626,1710164000643,1710164000659,1710164000676,1710164000691,1710164000708,1710164000725,1710164000742,1710164000758,1710164000775,1710164000793,1710164000809,1710164000826,1710164000842,1710164000859,1710164000875,1710164000891,1710164000910,1710164000927,1710164000941,1710164000958,1710164000974,1710164000991,1710164001009,1710164001026,1710164001042,1710164001058,1710164001075,1710164001091,1710164001108,1710164001125,1710164001142","164260.89999997616","hidden","0","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","9","160391","0.0-10.0-0.0-2.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","fixationMouse","","","","","","","","","","","","null",""
"6447","How much conflict did you experience in making this decision?:","","html-slider-response","10","167356","0.0-10.0-0.0-3.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","Slider","","","","","","","","","-1","","","","9530"
"1865","","0","html-button-response","11","169229","0.0-10.0-0.0-4.0","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","","","","","","","","","","","","","",""
"1027.7000000476837","stim/15.png,stim/16.png","","cta-radio","12","170263","0.0-10.1-0.1-1.1","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","trial","","","stim/16.png","672,672,670,670,667,667,666,666,663,663,663,663,661,662,663,666,673,683,713,755,811,848,895,911,915,918,920,921,924,933,944,953,959,961,962,966,967,968","575,562,553,543,530,522,513,505,494,485,473,465,446,438,429,416,405,389,364,337,315,289,266,255,252,251,249,248,248,244,238,231,230,228,228,228,228,228","1710164010420,1710164010444,1710164010458,1710164010474,1710164010491,1710164010507,1710164010524,1710164010541,1710164010557,1710164010574,1710164010592,1710164010608,1710164010626,1710164010642,1710164010658,1710164010675,1710164010691,1710164010708,1710164010724,1710164010741,1710164010758,1710164010774,1710164010791,1710164010808,1710164010826,1710164010841,1710164010858,1710164010891,1710164011066,1710164011091,1710164011108,1710164011124,1710164011141,1710164011158,1710164011175,1710164011243,1710164011308,1710164011341","174069.19999992847","hidden","1","stim/15.png","stim/16.png","",""
"null","","","html-keyboard-response","13","170374","0.0-10.1-0.1-2.1","First_First","Male","6385c8a3040045c66816d34d","7","To decide between options","","yes","Right handed","29","everything went well and i also enjoyed the study ","","fixationMouse","","","","","","","","","","","","null",""
