"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"4757","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","4759","0.0-0.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","","","","","","","","","","","","","",""
"1759","","","survey-multi-choice","1","6521","0.0-1.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2994","","","survey-multi-choice","2","9520","0.0-3.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"2325","","","survey-text","3","11851","0.0-5.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","{""Q0"":""63d416fdafe509f0ad79490c""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","","","","","","","","","","","",""
"","","","fullscreen","4","15037","0.0-6.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","","","true","","","","","","","","","","",""
"14793","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","29832","0.0-7.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","instructions","","","","","","","","","","","","",""
"7844","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","37677","0.0-8.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","instructions","","","","","","","","","","","","",""
"4159","","0","html-button-response","7","41838","0.0-9.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","","","","","","","","","","","","","",""
"4861.300000011921","stim/16.png,stim/15.png","","cta-radio","8","46701","0.0-10.0-0.0-1.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","trial","","","stim/16.png","780,755,725,686,671,659,655,652,649,648,648,651,661,736,779,821,844,864,884,894,908,916,926,943,951,960,966,972,980,983,985,988,990,991,990,979,968,958,946,937,931,921,912,903,892,882,848,827,799,779,750,730,717,703,666,660,652,648,644,641,640,640,639,643,658,719,748,779,797,812,832,844,854,867,875,889,899,909,925,936,952,962,971,980,984,990,992,996,996,997,996,990,973,929,908,881,868,853,829,814,788,774,759,728,707,674,655,639,630,620,606,599,604,629,655,686,705,721,748,761,784,795,804,816,822,828,832,833,835,836,836,836,835,828,820,810,804,796,784,776,768,752,741,716,696,673,662,652,638,631,623,620,616,615,612,612,612,612,624,668,746,776,800,830,848,861,872,878,886,891,895,901,906,911,915,917,921,923,925,926,926,925,924,920,916,912,906,899,886,875,856,840,828,811,802,795,788,784,777,773,770,764,761,757,756,756,760,770,782,787,788,791,792,792,792,790,779,765,744,729,714,692,677,658,644,628,616,607,592,583,571,556,547,533,527,522,516,512","672,656,635,606,592,579,574,571,566,564,559,554,545,515,507,500,496,492,489,488,487,486,484,484,483,482,482,481,480,480,480,480,480,482,487,506,523,538,555,564,572,582,588,597,604,611,623,628,630,630,627,624,620,616,603,600,596,595,592,591,591,590,588,584,579,560,551,541,536,532,526,522,520,515,513,510,507,503,499,496,490,485,480,475,472,468,465,464,462,460,456,450,438,417,412,406,406,405,405,405,408,412,416,428,436,446,452,457,460,462,466,468,461,431,405,384,373,365,357,354,352,352,352,354,356,357,359,359,360,360,363,366,372,390,405,427,439,448,463,470,476,481,484,485,484,479,476,471,464,460,453,450,448,446,444,442,439,436,424,400,378,372,367,360,357,356,355,355,355,356,357,360,364,370,375,381,389,396,404,410,416,424,430,439,443,448,452,455,456,454,448,444,436,428,423,419,413,410,407,404,400,394,390,385,380,369,344,317,286,273,264,252,246,239,234,229,220,212,204,200,199,199,201,204,204,206,207,208,211,213,216,220,222,226,228,229,231,232","1710163502288,1710163502413,1710163502425,1710163502441,1710163502458,1710163502475,1710163502492,1710163502510,1710163502524,1710163502542,1710163502558,1710163502575,1710163502592,1710163502608,1710163502625,1710163502641,1710163502658,1710163502676,1710163502691,1710163502707,1710163502724,1710163502741,1710163502758,1710163502774,1710163502791,1710163502808,1710163502824,1710163502841,1710163502858,1710163502874,1710163502892,1710163502908,1710163502924,1710163502941,1710163502958,1710163502974,1710163502991,1710163503008,1710163503024,1710163503041,1710163503058,1710163503074,1710163503092,1710163503107,1710163503124,1710163503141,1710163503158,1710163503175,1710163503191,1710163503208,1710163503223,1710163503241,1710163503259,1710163503274,1710163503320,1710163503342,1710163503357,1710163503374,1710163503390,1710163503407,1710163503424,1710163503440,1710163503458,1710163503491,1710163503507,1710163503523,1710163503540,1710163503557,1710163503574,1710163503591,1710163503607,1710163503624,1710163503642,1710163503657,1710163503674,1710163503690,1710163503707,1710163503725,1710163503741,1710163503758,1710163503774,1710163503790,1710163503808,1710163503823,1710163503841,1710163503857,1710163503874,1710163503890,1710163503907,1710163503923,1710163503940,1710163503957,1710163503974,1710163503990,1710163504007,1710163504023,1710163504041,1710163504057,1710163504073,1710163504090,1710163504106,1710163504123,1710163504141,1710163504157,1710163504174,1710163504189,1710163504207,1710163504223,1710163504240,1710163504257,1710163504273,1710163504290,1710163504556,1710163504573,1710163504590,1710163504606,1710163504622,1710163504640,1710163504656,1710163504673,1710163504689,1710163504706,1710163504723,1710163504740,1710163504756,1710163504773,1710163504790,1710163504808,1710163504822,1710163504840,1710163504856,1710163504872,1710163504891,1710163504906,1710163504923,1710163504939,1710163504956,1710163504972,1710163504989,1710163505006,1710163505023,1710163505039,1710163505056,1710163505073,1710163505089,1710163505106,1710163505123,1710163505141,1710163505156,1710163505172,1710163505188,1710163505206,1710163505224,1710163505238,1710163505256,1710163505272,1710163505289,1710163505306,1710163505323,1710163505339,1710163505356,1710163505372,1710163505390,1710163505405,1710163505422,1710163505439,1710163505456,1710163505473,1710163505488,1710163505505,1710163505523,1710163505539,1710163505556,1710163505572,1710163505589,1710163505606,1710163505622,1710163505639,1710163505656,1710163505672,1710163505690,1710163505706,1710163505722,1710163505739,1710163505755,1710163505773,1710163505789,1710163505805,1710163505822,1710163505839,1710163505855,1710163505872,1710163505889,1710163505905,1710163505922,1710163505939,1710163505955,1710163505972,1710163505989,1710163506005,1710163506022,1710163506038,1710163506055,1710163506072,1710163506089,1710163506105,1710163506122,1710163506139,1710163506155,1710163506172,1710163506189,1710163506205,1710163506222,1710163506238,1710163506255,1710163506272,1710163506288,1710163506305,1710163506322,1710163506338,1710163506356,1710163506372,1710163506388,1710163506404,1710163506421,1710163506437,1710163506454,1710163506471,1710163506488,1710163506505,1710163506522,1710163506538,1710163506555,1710163506571,1710163506588,1710163506604,1710163506621,1710163506638","43741.39999997616","hidden","0","stim/16.png","stim/15.png","",""
"null","","","html-keyboard-response","9","46817","0.0-10.0-0.0-2.0","Second_First","Male","63d416fdafe509f0ad79490c","6","To decide between options","","Yes","Right handed","29","N/A - Very simple study for me to complete, thanks for the opportunity.","","fixationMouse","","","","","","","","","","","","null",""
