"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"4851","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","4855","0.0-0.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"5493","","","survey-multi-choice","1","10350","0.0-1.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2382","","","survey-multi-choice","2","12734","0.0-3.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"5828","","","survey-text","3","18566","0.0-5.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","{""Q0"":""65ad35a96f13be31e82d4d70""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 OPR/107.0.0.0","","","","","","","","","","","",""
"","","","fullscreen","4","26555","0.0-6.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","true","","","","","","","","","","",""
"15353","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","41911","0.0-7.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","instructions","","","","","","","","","","","","",""
"4798","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","46711","0.0-8.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","instructions","","","","","","","","","","","","",""
"5367","","0","html-button-response","7","52078","0.0-9.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"1290.1000000238419","stim/16.png,stim/15.png","","cta-radio","8","53371","0.0-10.0-0.0-1.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","trial","","","stim/16.png","762,761,760,760,760,760,758,758,758,758,758,756,748,737,728,720,709,696,684,673,659,640,616,594,573,554,530,518,506,493,486,484,483,482,481,480,480,480,480,484,492,497,498,499,500,500,500","674,671,669,668,665,662,660,654,643,630,616,605,588,568,555,544,533,522,512,500,481,456,428,408,392,379,361,348,332,314,301,297,295,292,292,289,288,286,284,280,276,275,275,275,274,274,275","1710163540928,1710163540945,1710163540962,1710163541134,1710163541161,1710163541178,1710163541195,1710163541211,1710163541228,1710163541245,1710163541261,1710163541278,1710163541294,1710163541311,1710163541328,1710163541344,1710163541361,1710163541378,1710163541394,1710163541411,1710163541428,1710163541444,1710163541461,1710163541478,1710163541494,1710163541511,1710163541527,1710163541544,1710163541561,1710163541578,1710163541594,1710163541611,1710163541627,1710163541644,1710163541661,1710163541736,1710163541761,1710163541794,1710163541811,1710163541827,1710163541844,1710163541861,1710163541877,1710163541944,1710163541961,1710163542192,1710163542210","53392.200000047684","hidden","0","stim/16.png","stim/15.png","",""
"null","","","html-keyboard-response","9","53488","0.0-10.0-0.0-2.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","fixationMouse","","","","","","","","","","","","null",""
"4135","How much conflict did you experience in making this decision?:","","html-slider-response","10","58135","0.0-10.0-0.0-3.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","Slider","","","","","","","","","-1","","","","589"
"1517","","0","html-button-response","11","59654","0.0-10.0-0.0-4.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"535.6999999284744","stim/14.png,stim/13.png","","cta-radio","12","60192","0.0-10.1-0.1-1.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","trial","","","stim/13.png","775,777,792,819,852,876,896,920,932,937,943,945,950,956,964,972,980,985,990,1000,1004,1004","671,656,627,576,516,444,387,331,303,286,273,269,267,263,259,254,249,248,244,243,243,243","1710163548554,1710163548571,1710163548588,1710163548605,1710163548621,1710163548638,1710163548654,1710163548671,1710163548688,1710163548704,1710163548721,1710163548738,1710163548755,1710163548772,1710163548788,1710163548804,1710163548821,1710163548838,1710163548854,1710163548871,1710163548887,1710163549015","61018.700000047684","hidden","1","stim/14.png","stim/13.png","",""
"null","","","html-keyboard-response","13","60300","0.0-10.1-0.1-2.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","fixationMouse","","","","","","","","","","","","null",""
"2515","How much conflict did you experience in making this decision?:","","html-slider-response","14","63328","0.0-10.1-0.1-3.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","Slider","","","","","","","","","-1","","","","22"
"1484","","0","html-button-response","15","64815","0.0-10.1-0.1-4.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"975","You are now ready to begin the task.","0","html-button-response","16","65791","0.0-11.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","[object Object]","","","","","","","","","","","","",""
"1184","","0","html-button-response","17","66975","0.0-12.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"611.5999999046326","stim/3.png,stim/9.png","","cta-radio","18","67589","0.0-13.0-0.0-1.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","trial","","","stim/9.png","780,779,779,779,779,779,779,779,779,779,779,779,784,792,803,823,864,916,953,984,1005,1016,1020,1021,1025,1030,1035,1038","671,669,664,644,624,596,564,530,501,487,476,467,446,429,412,389,358,336,326,320,316,316,315,314,312,310,306,305","1710163555832,1710163555848,1710163555865,1710163555882,1710163555898,1710163555915,1710163555932,1710163555948,1710163555965,1710163555981,1710163555998,1710163556015,1710163556031,1710163556048,1710163556065,1710163556081,1710163556098,1710163556115,1710163556132,1710163556149,1710163556165,1710163556181,1710163556198,1710163556214,1710163556231,1710163556248,1710163556265,1710163556281","68296","hidden","0","stim/3.png","stim/9.png","",""
"null","","","html-keyboard-response","19","67691","0.0-13.0-0.0-2.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","fixationMouse","","","","","","","","","","","","null",""
"2312","How much conflict did you experience in making this decision?:","","html-slider-response","20","70519","0.0-13.0-0.0-3.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","Slider","","","","","","","","","0","","","","570"
"854","","0","html-button-response","21","71375","0.0-13.0-0.0-4.0","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"769.0999999046326","stim/5.png,stim/6.png","","cta-radio","22","72146","0.0-13.1-0.1-1.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","trial","","","stim/5.png","797,794,789,780,764,727,695,672,645,620,599,580,565,553,543,534,523,509,507,505","681,658,618,552,469,357,316,295,280,268,264,260,256,252,249,249,249,249,249,248","1710163560245,1710163560261,1710163560278,1710163560295,1710163560311,1710163560328,1710163560344,1710163560361,1710163560378,1710163560395,1710163560411,1710163560428,1710163560445,1710163560461,1710163560478,1710163560494,1710163560511,1710163560527,1710163560544,1710163560561","72709.10000002384","hidden","1","stim/5.png","stim/6.png","",""
"null","","","html-keyboard-response","23","72254","0.0-13.1-0.1-2.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","fixationMouse","","","","","","","","","","","","null",""
"1872","How much conflict did you experience in making this decision?:","","html-slider-response","24","74639","0.0-13.1-0.1-3.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","Slider","","","","","","","","","1","","","","707"
"829","","0","html-button-response","25","75471","0.0-13.1-0.1-4.1","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
"911.3000000715256","stim/10.png,stim/9.png","","cta-radio","26","76384","0.0-13.2-0.2-1.2","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","trial","","","stim/9.png","803,800,800,817,849,894,936,974,1021,1053,1074,1080,1080,1080,1080,1080,1079,1077,1077,1077,1076","669,661,636,581,516,453,400,360,325,308,295,289,285,284,281,276,274,272,271,270,269","1710163564608,1710163564624,1710163564641,1710163564657,1710163564674,1710163564691,1710163564708,1710163564724,1710163564741,1710163564758,1710163564774,1710163564791,1710163564807,1710163564824,1710163564841,1710163564857,1710163564874,1710163564891,1710163564907,1710163564924,1710163565224","77072","hidden","2","stim/10.png","stim/9.png","",""
"null","","","html-keyboard-response","27","76491","0.0-13.2-0.2-2.2","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","fixationMouse","","","","","","","","","","","","null",""
"2212","How much conflict did you experience in making this decision?:","","html-slider-response","28","79207","0.0-13.2-0.2-3.2","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","Slider","","","","","","","","","2","","","","1469"
"1989","","0","html-button-response","29","81199","0.0-13.2-0.2-4.2","Second_First","Male","65ad35a96f13be31e82d4d70","5","To decide between options","5","","Right handed","18","","","","","","","","","","","","","","","",""
