"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"9409","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","9410","0.0-0.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","","","","","","","","","","","","","",""
"23758","","","survey-multi-choice","1","33170","0.0-1.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"6366","","","survey-multi-choice","2","39538","0.0-3.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"14070","","","survey-text","3","53610","0.0-5.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","{""Q0"":""65c38e7c24e3847380600671""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","74169","0.0-6.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","","","true","","","","","","","","","","",""
"27806","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","101978","0.0-7.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","instructions","","","","","","","","","","","","",""
"12647","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","114625","0.0-8.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","instructions","","","","","","","","","","","","",""
"2215","","0","html-button-response","7","116842","0.0-9.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","","","","","","","","","","","","","",""
"4130.199999988079","stim/13.png,stim/14.png","","cta-radio","8","120973","0.0-10.0-0.0-1.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","trial","","","stim/13.png","958,958,959,963,965,967,971,974,978,981,984,988,991,993,995,996,998,999,999,999,999,998,996,995,993,991,990,990,989,989,987,985,984,982,980,975,970,964,959,951,944,937,931,923,916,910,903,899,896,894,893,889,886,883,880,878,877,875,874,873,872,871,869,865,859,853,845,839,833,826,817,809,801,793,787,779,774,771,766,764,762,758,755,753,751,749,748,747,745,743,741,739,736,733,730,727,724,722,720,717,715,714,710,708,706,705,704,704,703,702,700,698,698,697,697,695,692,691,689,688,688,687","849,848,846,839,836,833,828,821,815,811,805,800,794,790,787,784,778,774,770,767,763,760,757,755,753,752,752,751,751,750,749,748,747,745,744,741,738,736,733,728,724,719,715,710,705,700,694,692,690,689,687,684,682,680,679,678,676,675,675,674,673,672,669,665,658,652,641,632,625,614,602,589,576,565,553,537,525,516,505,500,494,484,475,467,461,455,451,446,436,430,425,419,413,406,400,395,389,385,380,374,372,369,364,360,358,356,354,353,352,351,349,347,346,346,345,343,341,339,337,337,336,335","1710163605791,1710163605814,1710163605831,1710163605847,1710163605864,1710163605881,1710163605898,1710163605914,1710163605931,1710163605947,1710163605965,1710163605981,1710163605998,1710163606014,1710163606031,1710163606048,1710163606064,1710163606081,1710163606098,1710163606114,1710163606131,1710163606148,1710163606164,1710163606181,1710163606198,1710163606215,1710163606265,1710163606378,1710163606398,1710163606458,1710163606481,1710163606498,1710163606514,1710163606531,1710163606548,1710163606565,1710163606581,1710163606598,1710163606614,1710163606631,1710163606647,1710163606664,1710163606681,1710163606697,1710163606714,1710163606731,1710163606748,1710163606764,1710163606781,1710163606797,1710163606814,1710163606831,1710163606847,1710163606865,1710163606881,1710163606898,1710163606914,1710163606931,1710163606948,1710163606965,1710163606981,1710163606998,1710163607014,1710163607031,1710163607048,1710163607064,1710163607081,1710163607097,1710163607114,1710163607131,1710163607148,1710163607164,1710163607181,1710163607198,1710163607214,1710163607231,1710163607247,1710163607264,1710163607281,1710163607297,1710163607314,1710163607331,1710163607348,1710163607364,1710163607381,1710163607398,1710163607414,1710163607431,1710163607448,1710163607465,1710163607481,1710163607498,1710163607515,1710163607531,1710163607548,1710163607564,1710163607581,1710163607598,1710163607614,1710163607631,1710163607648,1710163607664,1710163607681,1710163607697,1710163607714,1710163607731,1710163607747,1710163608114,1710163608132,1710163608147,1710163608165,1710163608181,1710163608198,1710163608214,1710163608864,1710163608881,1710163608898,1710163608914,1710163608931,1710163609082,1710163609115,1710163609131","118924.29999995232","shown","0","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","9","121086","0.0-10.0-0.0-2.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","fixationMouse","","","","","","","","","","","","null",""
"16244","How much conflict did you experience in making this decision?:","","html-slider-response","10","137842","0.0-10.0-0.0-3.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","Slider","","","","","","","","","-1","","","","693"
"1583","","0","html-button-response","11","139426","0.0-10.0-0.0-4.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","","","","","","","","","","","","","",""
"5457.399999976158","stim/15.png,stim/16.png","","cta-radio","12","144884","0.0-10.1-0.1-1.1","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","trial","","","stim/15.png","959,960,960,960,960,960,960,960,961,961,961,961,961,961,960,959,958,955,953,951,949,946,944,942,940,938,937,935,934,933,932,931,930,929,928,926,925,924,923,923,922,922,922,922,922,922,922,922,923,923,924,925,926,927,928,929,933,936,939,943,946,949,952,955,958,961,964,967,969,969,969,969,969,969,969,968,968,968,967,967,966,966,965,964,962,960,959,956,954,953,952,951,950,949,945,942,937,930,924,918,914,909,907,906,905,905,905,904,904,903,902,900,899,898,897,895,894,894,893,893,893,891,890,889,887,887,886,885,884,882,881,880,878,877,875,873,871,868,863,860,856,848,840,829,817,804,791,778,767,748,740,732,726,721,716,713,711,709,707,705,704,703,702,702,701,701,701,701,701,701,701,701,701,701,701","840,828,819,813,807,804,801,798,796,792,786,783,777,772,767,760,753,744,737,731,724,716,712,705,701,697,694,691,688,685,683,681,678,674,669,665,661,658,655,652,649,647,645,643,641,639,638,637,636,635,634,634,633,632,631,630,629,628,626,624,623,621,619,618,616,614,613,611,610,609,608,605,600,596,592,589,587,585,583,581,580,579,578,577,575,573,572,570,568,567,566,566,565,564,563,561,559,557,555,553,551,550,549,548,548,547,546,546,545,544,541,537,534,532,529,524,521,519,517,515,514,511,509,507,504,503,502,501,500,499,498,497,496,495,495,494,494,494,493,493,492,489,487,483,479,473,468,461,454,442,435,427,421,415,409,404,399,396,391,387,383,380,376,374,371,369,367,365,364,362,361,360,359,358,357","1710163628515,1710163628532,1710163628548,1710163628565,1710163628582,1710163628598,1710163628615,1710163628631,1710163628648,1710163628665,1710163628681,1710163628698,1710163628715,1710163628731,1710163628748,1710163628765,1710163628782,1710163628798,1710163628815,1710163628831,1710163628848,1710163628865,1710163628881,1710163628898,1710163628914,1710163628931,1710163628947,1710163628964,1710163628981,1710163628998,1710163629015,1710163629031,1710163629048,1710163629065,1710163629081,1710163629098,1710163629114,1710163629131,1710163629148,1710163629165,1710163629182,1710163629198,1710163629215,1710163629231,1710163629248,1710163629265,1710163629298,1710163629315,1710163629332,1710163629348,1710163629365,1710163629382,1710163629398,1710163629415,1710163629431,1710163629448,1710163629465,1710163629481,1710163629498,1710163629515,1710163629532,1710163629548,1710163629565,1710163629582,1710163629598,1710163629615,1710163629632,1710163629648,1710163629665,1710163630120,1710163630132,1710163630148,1710163630165,1710163630182,1710163630198,1710163630215,1710163630231,1710163630248,1710163630265,1710163630281,1710163630298,1710163630315,1710163630331,1710163630348,1710163630364,1710163630381,1710163630398,1710163630415,1710163630431,1710163630448,1710163630464,1710163630481,1710163630498,1710163630515,1710163630531,1710163630548,1710163630564,1710163630581,1710163630598,1710163630615,1710163630632,1710163630648,1710163630665,1710163630681,1710163630785,1710163630815,1710163631121,1710163631131,1710163631148,1710163631165,1710163631182,1710163631198,1710163631215,1710163631232,1710163631248,1710163631265,1710163631282,1710163631298,1710163631315,1710163631332,1710163631451,1710163631482,1710163631498,1710163631515,1710163631532,1710163631548,1710163631565,1710163631691,1710163631698,1710163631715,1710163631732,1710163631748,1710163631764,1710163631781,1710163631798,1710163631815,1710163631831,1710163631848,1710163631865,1710163631881,1710163631898,1710163631915,1710163631932,1710163631948,1710163631965,1710163631982,1710163631998,1710163632015,1710163632031,1710163632048,1710163632064,1710163632081,1710163632098,1710163632114,1710163632131,1710163632148,1710163632164,1710163632182,1710163632198,1710163632215,1710163632231,1710163632248,1710163632264,1710163632281,1710163632298,1710163632315,1710163632331,1710163632348,1710163632365,1710163632382,1710163632415,1710163632432,1710163632448,1710163632465,1710163632482","141648","shown","1","stim/15.png","stim/16.png","",""
"null","","","html-keyboard-response","13","144993","0.0-10.1-0.1-2.1","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","fixationMouse","","","","","","","","","","","","null",""
"6168","How much conflict did you experience in making this decision?:","","html-slider-response","14","151674","0.0-10.1-0.1-3.1","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","Slider","","","","","","","","","-1","","","","2797"
"1918","","0","html-button-response","15","153594","0.0-10.1-0.1-4.1","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","","","","","","","","","","","","","",""
"3240","You are now ready to begin the task.","0","html-button-response","16","156834","0.0-11.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","[object Object]","","","","","","","","","","","","",""
"1616","","0","html-button-response","17","158450","0.0-12.0","First_First","Female","65c38e7c24e3847380600671","6","To decide between options","","yes","Right handed","31","This was really interesting. i never realised how much i shift a mouse while I'm thinking","","","","","","","","","","","","","","",""
