,x_cord,y_cord,Condition
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,"638,640,642,646,649,652,655,658,661,665,672,678,686,692,694,696,698,698,700,702,706,710,714,718,721,724,727,728,728,716,703,686,669,656,644,637,630,622,606,590,570,553,538,525,518,509,498,485,472,457,438,428,418,410,406,402,400,399,398,396,394,390,386,382,381,380","560,556,551,544,540,538,532,526,518,510,498,486,470,464,459,456,454,453,451,448,444,434,429,422,416,411,408,407,406,399,394,387,380,376,372,368,365,362,356,352,346,342,338,336,333,329,326,322,318,314,308,307,305,304,303,303,303,303,303,303,303,302,302,301,300,300",
11,,,
12,,,
13,,,
14,"651,647,644,640,638,633,630,626,623,620,617,611,604,588,577,564,553,542,530,518,506,482,466,450,438,430,420,413,406,395,390,385,382,380,378,376","561,556,550,544,539,532,527,518,512,506,500,490,480,462,449,436,426,418,408,397,386,366,356,345,336,331,326,322,318,313,310,307,304,304,303,303",
15,,,
16,,,
17,,,
18,"636,632,624,615,604,594,578,570,566,564,561,556,547,537,523,515,512,505,500,494,490,487,484,484,480,477,476,474,470,466,462,458,450,438,432,428,423,418,414,410,404,400,396,393,390,388,386,382,380,379,377,376,376,375,375","568,562,554,545,534,524,508,498,496,493,490,484,474,462,444,433,426,418,412,404,399,394,391,390,386,382,381,380,376,373,370,367,364,358,355,352,349,346,343,340,337,334,330,327,324,321,318,316,312,309,305,302,300,297,296",
19,,,
20,,,
21,,,
22,"635,640,644,646,649,652,656,662,671,683,697,710,722,728,735,752,766,780,794,804,814,824,834,844,851,856,860,864,867,870,872,874,874,875,879,882,885,888,890,891,892,894,896,897,898,899,900,901","574,564,558,555,552,550,546,539,529,517,503,492,480,474,468,453,442,431,422,413,405,396,386,373,362,349,340,333,328,323,320,318,316,313,309,305,302,300,299,298,298,298,297,297,297,297,297,296",
23,,,
24,,,
25,,,
26,,,
27,,,
28,"645,643,640,637,632,628,626,624,623,621,618,615,612,609,606,602,600,596,594,586,580,574,566,561,555,550,544,540,538,536,536,534,533,530,530,529,524,521,517,514,510,506,502,497,490,482,470,462,455,443,433,423,414,402,396,392,388,386,383,380,379,378,376,376,376,376,376,377,378,378,379,379","554,548,538,527,516,508,505,502,500,497,494,490,485,478,471,466,464,458,454,446,441,436,429,424,420,416,412,409,407,406,404,402,402,400,399,398,394,392,388,386,384,380,378,377,372,369,365,362,358,354,350,348,344,339,336,334,331,328,326,324,322,320,319,318,315,313,311,308,306,303,301,300",1
29,,,
30,,,
31,,,
