"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"15428","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","15431","0.0-0.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","","","","","","","","","","","","","",""
"6162","","","survey-multi-choice","1","21597","0.0-1.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"6295","","","survey-multi-choice","2","27895","0.0-3.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"5598","","","survey-text","3","33498","0.0-5.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","{""Q0"":""5c37218fcae26e00013205ad""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","36963","0.0-6.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","","","true","","","","","","","","","","",""
"39236","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","76201","0.0-7.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","instructions","","","","","","","","","","","","",""
"10719","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","86921","0.0-8.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","instructions","","","","","","","","","","","","",""
"10820","","0","html-button-response","7","97743","0.0-9.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","","","","","","","","","","","","","",""
"3135.199999988079","stim/16.png,stim/15.png","","cta-radio","8","100881","0.0-10.0-0.0-1.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","trial","","","stim/15.png","1033,1033,1032,1032,1030,1029,1029,1029,1028,1028,1027,1027,1026,1023,1022,1021,1018,1017,1013,1012,1012,1009,1007,1006,1006,1004,1003,1001,1000,996,989,988,987,984,976,975,965,961,952,950,949,944,943,942,939,937,936,935,934,933,932,931,929,928,926,925,923,922,922,922,922,923,928,931,933,948,964,968,980,999,1011,1036,1057,1065,1076,1083,1101,1108,1116,1123,1141,1160,1165,1169,1175,1182,1189,1196,1198,1205,1209,1216,1221,1232,1236,1242,1246,1252,1255,1261,1264,1266,1269,1270","868,859,857,853,846,844,843,842,842,841,840,839,837,829,827,824,820,819,815,815,814,812,811,811,810,810,810,810,810,810,809,809,809,808,808,808,808,808,808,808,807,807,807,806,806,806,805,805,804,804,803,803,800,798,794,790,780,772,759,751,740,729,714,706,702,679,658,653,640,622,612,589,573,566,556,551,532,526,519,512,497,479,474,470,465,458,453,446,444,438,435,430,426,418,415,411,408,404,400,396,394,393,390,389","1710163559410,1710163559427,1710163559444,1710163559460,1710163559477,1710163559510,1710163559527,1710163559544,1710163559598,1710163559627,1710163559661,1710163559677,1710163559711,1710163559728,1710163559744,1710163559761,1710163559778,1710163559795,1710163559828,1710163559845,1710163559861,1710163559895,1710163559928,1710163559969,1710163559979,1710163559995,1710163560028,1710163560045,1710163560079,1710163560095,1710163560129,1710163560146,1710163560163,1710163560179,1710163560195,1710163560229,1710163560263,1710163560280,1710163560296,1710163560313,1710163560329,1710163560346,1710163560362,1710163560379,1710163560396,1710163560413,1710163560431,1710163560446,1710163560480,1710163560496,1710163560513,1710163560530,1710163560546,1710163560563,1710163560580,1710163560597,1710163560613,1710163560630,1710163560647,1710163560664,1710163560680,1710163560697,1710163560713,1710163560730,1710163560747,1710163560764,1710163560781,1710163560798,1710163560814,1710163560831,1710163560847,1710163560864,1710163560881,1710163560898,1710163560914,1710163560931,1710163560964,1710163560981,1710163560998,1710163561015,1710163561031,1710163561065,1710163561082,1710163561098,1710163561115,1710163561131,1710163561149,1710163561165,1710163561182,1710163561198,1710163561215,1710163561232,1710163561248,1710163561265,1710163561282,1710163561299,1710163561315,1710163561332,1710163561349,1710163561366,1710163561382,1710163561399,1710163561432,1710163561466","99782.89999997616","hidden","0","stim/16.png","stim/15.png","",""
"null","","","html-keyboard-response","9","100985","0.0-10.0-0.0-2.0","Second_First","Male","5c37218fcae26e00013205ad","5","To decide between options","","yes","Right handed","34","Interesting study... I kept changing my mind throughout, but I wasn't sure why! I realised that some of the shapes reminded me of animals (which I ended up opting for), whereas the thinner shapes reminded me of less lovely things, which is why I gravitated away from them. I also liked the symmetrical shapes.","","fixationMouse","","","","","","","","","","","","null",""
