"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"7658","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","7660","0.0-0.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","","","","","","","","","","","","","",""
"5661","","","survey-multi-choice","1","13325","0.0-1.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"6545","","","survey-multi-choice","2","19871","0.0-3.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"2880","","","survey-text","3","22753","0.0-5.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","{""Q0"":""5c97f7ed18a759001648027a""}","prolific","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","","","","","","","","","","","",""
"","","","fullscreen","4","42447","0.0-6.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","","","true","","","","","","","","","","",""
"25982","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","68430","0.0-7.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","instructions","","","","","","","","","","","","",""
"3687","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","72118","0.0-8.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","instructions","","","","","","","","","","","","",""
"3115","","0","html-button-response","7","75234","0.0-9.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","","","","","","","","","","","","","",""
"2653","stim/13.png,stim/14.png","","cta-radio","8","77889","0.0-10.0-0.0-1.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","trial","","","stim/14.png","639,639,639,639,639,639,639,639,639,639,640,640,641,641,642,642,643,643,646,646,648,648,649,649,651,651,653,653,655,655,655,655,656,656,658,658,659,659,659,659,661,661,661,661,662,662,663,663,665,665,686,686,722,722,759,759,819,819,865,865,926,926,944,944,958,958,965,965,971,971,982,982,989,989,993,993,996,996,996,996,997,997,997,997,997,997,997,997","622,622,620,620,618,618,615,615,609,609,602,602,593,593,583,583,568,568,545,545,524,524,505,505,478,478,457,457,428,428,416,416,390,390,369,369,346,346,338,338,322,322,318,318,308,308,303,303,303,303,301,301,295,295,288,288,277,277,267,267,251,251,246,246,241,241,238,238,236,236,233,233,230,230,228,228,227,227,227,227,226,226,226,226,226,226,226,226","1710163485191,1710163485192,1710163485196,1710163485196,1710163485206,1710163485207,1710163485211,1710163485212,1710163485222,1710163485223,1710163485228,1710163485229,1710163485235,1710163485236,1710163485247,1710163485247,1710163485251,1710163485252,1710163485263,1710163485264,1710163485268,1710163485268,1710163485279,1710163485279,1710163485284,1710163485284,1710163485296,1710163485296,1710163485300,1710163485300,1710163485311,1710163485312,1710163485316,1710163485317,1710163485328,1710163485329,1710163485332,1710163485333,1710163485343,1710163485344,1710163485348,1710163485349,1710163485360,1710163485361,1710163485364,1710163485365,1710163485375,1710163485376,1710163486220,1710163486221,1710163486230,1710163486231,1710163486235,1710163486235,1710163486246,1710163486247,1710163486251,1710163486252,1710163486263,1710163486264,1710163486267,1710163486268,1710163486278,1710163486279,1710163486283,1710163486284,1710163486296,1710163486296,1710163486300,1710163486300,1710163486311,1710163486311,1710163486316,1710163486316,1710163486328,1710163486328,1710163486332,1710163486333,1710163486344,1710163486344,1710163486348,1710163486349,1710163486360,1710163486360,1710163486364,1710163486365,1710163486375,1710163486376","77438","hidden","0","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","9","77992","0.0-10.0-0.0-2.0","First_First","Female","5c97f7ed18a759001648027a","5","To decide between options","","yes","Right handed","31","","","fixationMouse","","","","","","","","","","","","null",""
