"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"7213","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","7215","0.0-0.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1789","","","survey-multi-choice","1","9007","0.0-1.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2913","","","survey-multi-choice","2","11923","0.0-3.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"2434","","","survey-text","3","14360","0.0-5.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","{""Q0"":""5ec3dd98ce3cd40668c0115f""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","","","","","","","","","","","",""
"","","","fullscreen","4","20665","0.0-6.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","true","","","","","","","","","","",""
"47084","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","67751","0.0-7.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","instructions","","","","","","","","","","","","",""
"2330","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","70083","0.0-8.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","instructions","","","","","","","","","","","","",""
"1856","","0","html-button-response","7","71939","0.0-9.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1861.699999988079","stim/15.png,stim/16.png","","cta-radio","8","73804","0.0-10.0-0.0-1.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/15.png","764,774,776,776,776,772,753,729,686,657,632,600,589,580,576,575,574,574","663,617,601,582,568,553,530,508,468,441,415,374,354,326,316,313,313,314","1710160858856,1710160858877,1710160858894,1710160858911,1710160858928,1710160858945,1710160858961,1710160858978,1710160858994,1710160859011,1710160859028,1710160859044,1710160859061,1710160859078,1710160859094,1710160859111,1710160859127,1710160859214","74781.30000001192","shown","0","stim/15.png","stim/16.png","",""
"null","<font size=""+3"">Please start moving the cursor sooner, even if you are not yet fully certain of your decision.</font>","","html-keyboard-response","9","77928","0.0-10.0-0.0-2.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"3760","How much conflict did you experience in making this decision?:","","html-slider-response","10","82195","0.0-10.0-0.0-3.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","-1","","","","7089"
"2567","","0","html-button-response","11","84765","0.0-10.0-0.0-4.0","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
