"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"16237","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","16240","0.0-0.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","","","","","","","","","","","",""
"2271","","","survey-multi-choice","1","18513","0.0-1.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2717","","","survey-multi-choice","2","21232","0.0-3.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"3718","","","survey-text","3","24953","0.0-5.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","{""Q0"":""604249b06f34b50af5338558""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0","","","","","","","","","","","",""
"","","","fullscreen","4","27254","0.0-6.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","true","","","","","","","","","","",""
"19229","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","46484","0.0-7.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","instructions","","","","","","","","","","","","",""
"7523","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","54008","0.0-8.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","instructions","","","","","","","","","","","","",""
"3024","","0","html-button-response","7","57033","0.0-9.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","","","","","","","","","","","",""
"2132.5999999046326","stim/16.png,stim/15.png","","cta-radio","8","59168","0.0-10.0-0.0-1.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","trial","","","stim/16.png","638,637,633,629,628,627,626,626,624,623,619,603,582,545,526,507,485,475,466,461,455,447,442,440,436,432,429,426,422,420,417,414,412,410,409","563,553,536,522,518,516,514,512,509,506,502,486,470,443,423,403,370,354,337,328,316,298,286,278,268,263,258,254,252,250,249,248,248,247,247","1710163801657,1710163801672,1710163801689,1710163801705,1710163801722,1710163801739,1710163801755,1710163801772,1710163801788,1710163801805,1710163801822,1710163801838,1710163801855,1710163801872,1710163801888,1710163801905,1710163801922,1710163801938,1710163801955,1710163801972,1710163801989,1710163802005,1710163802022,1710163802039,1710163802055,1710163802072,1710163802089,1710163802106,1710163802122,1710163802138,1710163802156,1710163802172,1710163802189,1710163802205,1710163802222","58892.5","hidden","0","stim/16.png","stim/15.png","",""
"null","","","html-keyboard-response","9","59278","0.0-10.0-0.0-2.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","fixationMouse","","","","","","","","","","","","null",""
"4146","How much conflict did you experience in making this decision?:","","html-slider-response","10","63932","0.0-10.0-0.0-3.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","Slider","","","","","","","","","-1","","","","50"
"1964","","0","html-button-response","11","65900","0.0-10.0-0.0-4.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","","","","","","","","","","","",""
"1540.5999999046326","stim/13.png,stim/14.png","","cta-radio","12","67443","0.0-10.1-0.1-1.1","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","trial","","","stim/14.png","721,739,751,765,787,800,822,836,851,866,876,882,884,884","435,411,390,364,324,300,271,252,237,215,199,186,184,182","1710163810554,1710163810572,1710163810589,1710163810605,1710163810622,1710163810639,1710163810655,1710163810672,1710163810689,1710163810706,1710163810722,1710163810739,1710163810755,1710163810772","67789.09999990463","hidden","1","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","13","67554","0.0-10.1-0.1-2.1","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","fixationMouse","","","","","","","","","","","","null",""
"2917","How much conflict did you experience in making this decision?:","","html-slider-response","14","70977","0.0-10.1-0.1-3.1","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","Slider","","","","","","","","","-1","","","","66"
"1540","","0","html-button-response","15","72520","0.0-10.1-0.1-4.1","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","","","","","","","","","","","",""
"1258","You are now ready to begin the task.","0","html-button-response","16","73779","0.0-11.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","[object Object]","","","","","","","","","","","","",""
"1688","","0","html-button-response","17","75469","0.0-12.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","","","","","","","","","","","",""
"1034.4000000953674","stim/7.png,stim/2.png","","cta-radio","18","76505","0.0-13.0-0.0-1.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","trial","","","stim/7.png","618,545,506,462,437,418,398,388,378,374,372,366,363,358,356,354","531,408,353,292,256,229,199,181,164,157,152,144,140,134,131,129","1710163819967,1710163819989,1710163820006,1710163820022,1710163820039,1710163820056,1710163820072,1710163820089,1710163820105,1710163820122,1710163820139,1710163820155,1710163820172,1710163820189,1710163820205,1710163820223","77202.09999990463","hidden","0","stim/7.png","stim/2.png","",""
"null","","","html-keyboard-response","19","76617","0.0-13.0-0.0-2.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","fixationMouse","","","","","","","","","","","","null",""
"2758","How much conflict did you experience in making this decision?:","","html-slider-response","20","79885","0.0-13.0-0.0-3.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","Slider","","","","","","","","","0","","","","0"
"1159","","0","html-button-response","21","81046","0.0-13.0-0.0-4.0","Second_First","Female","604249b06f34b50af5338558","6","To decide between options","","yes","Right handed","33","","","","","","","","","","","","","","","",""
