"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"35748","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","35748","0.0-0.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","","","","","","","","","","","","","",""
"4912","","","survey-multi-choice","1","40661","0.0-1.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"2029","","","survey-multi-choice","2","42691","0.0-3.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"3149","","","survey-text","3","45841","0.0-5.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","{""Q0"":""62a1e2fd89e02622395cab4d""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","63062","0.0-6.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","","","true","","","","","","","","","","",""
"18298","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","81361","0.0-7.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","instructions","","","","","","","","","","","","",""
"4093","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","85454","0.0-8.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","instructions","","","","","","","","","","","","",""
"2984","","0","html-button-response","7","88438","0.0-9.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","","","","","","","","","","","","","",""
"2621.0999999046326","stim/14.png,stim/13.png","","cta-radio","8","91060","0.0-10.0-0.0-1.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","trial","","","stim/14.png","651,652,651,651,650,649,646,644,641,636,628,621,612,602,593,581,570,558,538,522,505,477,456,448,443,440,438,437,436,433,432,430,431,430,429,429,431,473,518,561,616,661,689,710,733,758,788,817,844,860,873,887,898,908,915,925,929,932,936,936,938,937,925,900,868,820,762,689,634,592,563,549,539,532,520,508,499,497,495,494,483,473,457,441,419,401,386,375,373","558,555,547,537,524,511,499,485,473,457,442,426,412,396,384,370,357,346,331,318,304,278,258,251,246,242,241,238,233,230,226,222,219,217,217,215,215,222,229,231,234,234,234,235,235,235,234,231,229,226,224,220,219,217,215,212,209,207,205,204,204,204,201,198,198,199,199,201,198,191,185,181,178,176,172,170,168,168,168,168,168,167,166,167,168,169,172,173,173","1710163906445,1710163906452,1710163906468,1710163906485,1710163906502,1710163906518,1710163906535,1710163906552,1710163906568,1710163906585,1710163906602,1710163906618,1710163906635,1710163906652,1710163906668,1710163906685,1710163906702,1710163906718,1710163906735,1710163906752,1710163906768,1710163906785,1710163906802,1710163906818,1710163906835,1710163906852,1710163906868,1710163906885,1710163906902,1710163906918,1710163906935,1710163906952,1710163906968,1710163906985,1710163907002,1710163907018,1710163907787,1710163907802,1710163907818,1710163907835,1710163907852,1710163907868,1710163907885,1710163907902,1710163907918,1710163907935,1710163907952,1710163907968,1710163907985,1710163908002,1710163908018,1710163908035,1710163908052,1710163908068,1710163908085,1710163908102,1710163908118,1710163908135,1710163908152,1710163908185,1710163908202,1710163908291,1710163908302,1710163908318,1710163908335,1710163908352,1710163908369,1710163908385,1710163908402,1710163908418,1710163908435,1710163908452,1710163908468,1710163908485,1710163908502,1710163908518,1710163908535,1710163908552,1710163908614,1710163908618,1710163908635,1710163908652,1710163908669,1710163908685,1710163908702,1710163908718,1710163908735,1710163908752,1710163908768","89972.20000004768","hidden","0","stim/14.png","stim/13.png","",""
"null","","","html-keyboard-response","9","91162","0.0-10.0-0.0-2.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","fixationMouse","","","","","","","","","","","","null",""
"4199","How much conflict did you experience in making this decision?:","","html-slider-response","10","95864","0.0-10.0-0.0-3.0","First_First","Non-binary/None of the specified options","62a1e2fd89e02622395cab4d","6","To decide between options","","yes","Right handed","35","","","Slider","","","","","","","","","-1","","","","2475"
