"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"4415","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","4417","0.0-0.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","","","","","","","","","","","","","",""
"3687","","","survey-multi-choice","1","8105","0.0-1.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"4200","","","survey-multi-choice","2","12306","0.0-3.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"6703","","","survey-text","3","19010","0.0-5.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","{""Q0"":""641c90683d33ab109f15129c""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","","","","","","","","","","","",""
"","","","fullscreen","4","21428","0.0-6.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","","","true","","","","","","","","","","",""
"13947","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/15.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/16.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","35375","0.0-7.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","instructions","","","","","","","","","","","","",""
"4919","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","40295","0.0-8.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","instructions","","","","","","","","","","","","",""
"2663","","0","html-button-response","7","42959","0.0-9.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","","","","","","","","","","","","","",""
"4701","stim/16.png,stim/15.png","","cta-radio","8","47662","0.0-10.0-0.0-1.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","trial","","","stim/15.png","1297,1296,1294,1293,1293,1293,1293,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1293,1293,1293,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1295,1296,1297,1299,1301,1303,1308,1316,1332,1357,1379,1405,1431,1454,1473,1490,1505,1516,1525,1531,1537,1542,1544,1547,1550,1552,1553,1555,1556,1557,1559,1559,1559,1560,1560,1562,1564,1566,1567,1568","1030,1014,1004,1001,1000,999,998,997,995,993,992,991,989,987,985,984,982,981,980,979,978,977,976,975,974,972,971,969,967,965,963,962,960,959,958,957,956,955,954,953,952,951,950,949,948,947,946,944,943,942,941,940,939,938,937,936,935,934,933,932,930,928,925,922,918,915,910,904,892,862,808,758,708,665,632,608,591,577,565,555,545,535,527,523,519,515,514,512,510,509,507,506,505,504,504,502,499,495,491,490,489","1710163733989,1710163734005,1710163734022,1710163734039,1710163735189,1710163735207,1710163735223,1710163735240,1710163735257,1710163735290,1710163735307,1710163735323,1710163735340,1710163735357,1710163735373,1710163735390,1710163735407,1710163735423,1710163735440,1710163735457,1710163735490,1710163735523,1710163735603,1710163735650,1710163735673,1710163735690,1710163735707,1710163735724,1710163735740,1710163735757,1710163735774,1710163735790,1710163735807,1710163735824,1710163735840,1710163735857,1710163735874,1710163735890,1710163735928,1710163735963,1710163735991,1710163736031,1710163736445,1710163736597,1710163736701,1710163736764,1710163737085,1710163737125,1710163737228,1710163737281,1710163737308,1710163737325,1710163737342,1710163737358,1710163737375,1710163737392,1710163737425,1710163737504,1710163737525,1710163737542,1710163737558,1710163737575,1710163737592,1710163737608,1710163737625,1710163737642,1710163737659,1710163737675,1710163737692,1710163737709,1710163737725,1710163737742,1710163737759,1710163737775,1710163737792,1710163737809,1710163737825,1710163737842,1710163737859,1710163737875,1710163737892,1710163737909,1710163737925,1710163737942,1710163737959,1710163737975,1710163737992,1710163738009,1710163738025,1710163738042,1710163738059,1710163738080,1710163738092,1710163738109,1710163738125,1710163738142,1710163738159,1710163738176,1710163738192,1710163738209,1710163738226","44244.40000000037","shown","0","stim/16.png","stim/15.png","",""
"null","","","html-keyboard-response","9","47764","0.0-10.0-0.0-2.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","fixationMouse","","","","","","","","","","","","null",""
"3977","How much conflict did you experience in making this decision?:","","html-slider-response","10","52246","0.0-10.0-0.0-3.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","Slider","","","","","","","","","-1","","","","7797"
"1564","","0","html-button-response","11","53811","0.0-10.0-0.0-4.0","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","","","","","","","","","","","","","",""
"2579.5","stim/13.png,stim/14.png","","cta-radio","12","56392","0.0-10.1-0.1-1.1","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","trial","","","stim/13.png","1209,1199,1189,1177,1167,1159,1151,1139,1123,1104,1084,1063,1046,1029,1018,1014,1012,1009,1006,1004,1004,1003,1003,1002,1000,999,999,999,999,999,998","1019,962,894,827,779,752,733,708,676,645,614,585,566,552,545,542,541,539,535,533,531,531,530,529,523,514,505,498,495,494,494","1710163746366,1710163746382,1710163746399,1710163746416,1710163746432,1710163746449,1710163746466,1710163746482,1710163746499,1710163746516,1710163746533,1710163746549,1710163746566,1710163746583,1710163746599,1710163746616,1710163746632,1710163746649,1710163746666,1710163746683,1710163746699,1710163746758,1710163746815,1710163746833,1710163746849,1710163746866,1710163746883,1710163746899,1710163746916,1710163746933,1710163747164","56621.10000000149","shown","1","stim/13.png","stim/14.png","",""
"null","<font size=""+3"">Please start moving the cursor sooner, even if you are not yet fully certain of your decision.</font>","","html-keyboard-response","13","60500","0.0-10.1-0.1-2.1","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","fixationMouse","","","","","","","","","","","","null",""
"2847","How much conflict did you experience in making this decision?:","","html-slider-response","14","63848","0.0-10.1-0.1-3.1","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","Slider","","","","","","","","","-1","","","","7351"
"747","","0","html-button-response","15","64596","0.0-10.1-0.1-4.1","Second_First","Male","641c90683d33ab109f15129c","4","To decide between options","","yes","Right handed","28","","","","","","","","","","","","","","","",""
