"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"8559","<p style='word-wrap: break-word; margin-left:100px;         margin-right:100px; font-size: 19px; text-align:center;'>        Welcome!In this study you will complete a decision making task.<b>Please complete this task using a computer mouse and not a trackpad.</b> On the next page you will be presented with a general consent form before continuing on to the study.</p>","","html-button-response","0","8583","0.0-0.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","","","","","","","","","","","","","",""
"20659","","","survey-multi-choice","1","29252","0.0-1.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","{""Q0"":""Yes""}","consent","","","","","","","","","","","","",""
"4990","","","survey-multi-choice","2","34247","0.0-3.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","{""Q0"":""Yes""}","Mouse Indication","","","","","","","","","","","","",""
"4439","","","survey-text","3","38697","0.0-5.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","{""Q0"":""65b29355051087c74e9c0bd6""}","prolific","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","","","","","","","","","","",""
"","","","fullscreen","4","43118","0.0-6.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","","","true","","","","","","","","","","",""
"57209","<div style=""display: flex; flex-direction: column; justify-content: center;""><div>Please read the following instructions carefully.In this study we are interested in how people make various types of decisions. During each trial of the study, you will be presented with two shapes. In each trial we will ask you to choose which of the two shapes you prefer, using your mouse cursor. There are various possible criteria for selecting the shapes. Note that there are no right or wrong answers, so please decide according to your preferences.  For example:</div><div style=""text-align: center; flex-grow: 1;""><svg preserveAspectRatio=""xMidYMid meet"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 768 576"" style=""max-width: 400px; width:95%; max-height: 95vh; margin: auto;"">    <rect height=""576"" width=""768"" style=""height: 576px; width: 768px; fill: rgb(255,255,255); stroke-width:7px;stroke:rgb(0,0,0)""></rect>    <foreignObject x=""0"" y=""80"" width=""768px"" height=""300"">        <div>            <div style=""float: left; margin-left: 2%; ""><img src =""stim/13.png"" style = ""height: 250px; width: auto;""></div>            <div style=""float: right; margin-right: 2%;""><img src =""stim/14.png""style = ""height: 250px; width: auto;""></div>        </div>    </foreignObject></svg></div><p style=""position: relative; margin-top: 5px""></p>Press the button below to continue.</div>","0","html-button-response","5","100330","0.0-7.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","instructions","","","","","","","","","","","","",""
"9605","<div style=""font-size: 22px;""> You will make the decisions using the computer mouse.<b>Please start moving the cursor immediately after the options are displayed, even if you are not yet fully certain of your decision.</b>Before you begin the actual task, you will do a few practice decisions.","0","html-button-response","6","109938","0.0-8.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","instructions","","","","","","","","","","","","",""
"2110","","0","html-button-response","7","112049","0.0-9.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","","","","","","","","","","","","","",""
"2160","stim/13.png,stim/14.png","","cta-radio","8","114213","0.0-10.0-0.0-1.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","trial","","","stim/13.png","754,754,753,750,742,730,717,699,679,655,635,620,610,611,631,651,674,700,727,757,785,806,824,835,839,839,839,834,817,790,736,679,613,553,506,470,458,450,448,446,445,445,444,443,439,436,431,431,431,431,431,431,430,430,429,428,428,428,426,424,422,422,421,420,420,420,420,420,420,420,420,420,421,421,422,425,425,425,425,425","782,778,772,762,748,730,709,686,660,634,612,594,582,571,556,547,540,536,534,534,534,534,534,534,534,534,535,536,542,550,556,562,564,566,566,563,559,553,547,537,523,509,492,476,460,443,425,418,413,410,408,408,408,408,408,408,407,405,402,398,395,391,388,385,383,381,380,379,378,377,374,366,358,351,345,337,333,331,331,330","1710163486820,1710163486837,1710163486853,1710163486869,1710163486886,1710163486902,1710163486922,1710163486938,1710163486956,1710163486971,1710163486987,1710163487002,1710163487020,1710163487036,1710163487052,1710163487069,1710163487086,1710163487102,1710163487119,1710163487136,1710163487153,1710163487169,1710163487186,1710163487203,1710163487220,1710163487235,1710163487492,1710163487503,1710163487519,1710163487538,1710163487554,1710163487569,1710163487586,1710163487604,1710163487620,1710163487636,1710163487652,1710163487668,1710163487685,1710163487703,1710163487719,1710163487735,1710163487752,1710163487769,1710163487785,1710163487802,1710163487820,1710163487836,1710163487852,1710163487869,1710163487885,1710163487902,1710163488139,1710163488163,1710163488179,1710163488187,1710163488228,1710163488236,1710163488252,1710163488269,1710163488286,1710163488303,1710163488319,1710163488337,1710163488353,1710163488370,1710163488387,1710163488403,1710163488419,1710163488436,1710163488454,1710163488470,1710163488486,1710163488503,1710163488520,1710163488537,1710163488553,1710163488570,1710163488597,1710163488789","115672","hidden","0","stim/13.png","stim/14.png","",""
"null","","","html-keyboard-response","9","114327","0.0-10.0-0.0-2.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","fixationMouse","","","","","","","","","","","","null",""
"6458","How much conflict did you experience in making this decision?:","","html-slider-response","10","121290","0.0-10.0-0.0-3.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","Slider","","","","","","","","","-1","","","","2475"
"1276","","0","html-button-response","11","122569","0.0-10.0-0.0-4.0","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","","","","","","","","","","","","","",""
"1308","stim/15.png,stim/16.png","","cta-radio","12","123879","0.0-10.1-0.1-1.1","First_First","Female","65b29355051087c74e9c0bd6","6","To decide between options","","yes","Right handed","22","No comments thanks!","","trial","","","stim/16.png","729,729,729,729,728,724,722,721,718,717,715,714,712,709,707,694,683,667,650,632,613,593,578,568,562,563,571,596,615,626,629,629,629,629,626,625,624,623,623,622,622,622,622,635,670,728,800,875,925,956,967,971,972,972,972,973,975,981,990,994,996,996,996,996,997,997,998,998,998,999","784,772,760,754,735,725,712,702,696,691,689,688,687,685,681,667,653,636,617,598,578,559,539,522,506,494,484,473,470,470,471,472,474,476,479,481,483,484,485,487,488,488,488,488,487,487,480,475,464,452,442,430,424,417,411,406,401,395,387,384,382,382,381,381,379,378,375,373,371,370","1710163497339,1710163497362,1710163497373,1710163497389,1710163497405,1710163497421,1710163497438,1710163497455,1710163497472,1710163497488,1710163497505,1710163497523,1710163497539,1710163497555,1710163497571,1710163497588,1710163497605,1710163497622,1710163497639,1710163497655,1710163497671,1710163497689,1710163497706,1710163497723,1710163497739,1710163497756,1710163497771,1710163497788,1710163497805,1710163497821,1710163497838,1710163497855,1710163497872,1710163497889,1710163497905,1710163497923,1710163497939,1710163497955,1710163497972,1710163497989,1710163498006,1710163498022,1710163498038,1710163498055,1710163498072,1710163498089,1710163498105,1710163498122,1710163498139,1710163498156,1710163498172,1710163498188,1710163498205,1710163498222,1710163498238,1710163498255,1710163498272,1710163498290,1710163498305,1710163498323,1710163498338,1710163498355,1710163498378,1710163498388,1710163498404,1710163498421,1710163498438,1710163498455,1710163498471,1710163498594","126190","hidden","1","stim/15.png","stim/16.png","",""
