,x_cord,y_cord,Condition
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,"977,982,985,988,994,1003,1012,1021,1030,1036,1042,1047,1052,1058,1067,1082,1091,1097,1100,1107,1117,1125,1127,1135,1149,1163,1177,1180,1182,1183,1187,1193,1200,1204,1209,1215,1219,1222,1224,1226,1227,1226,1224,1223,1222,1222,1220,1219,1217","763,755,744,736,724,708,689,669,651,638,627,616,604,594,580,565,558,553,550,546,541,535,534,530,521,514,506,504,504,502,502,501,501,499,498,496,495,495,493,492,490,489,487,487,486,485,484,483,481",
11,,,
12,,,
13,,,
14,"953,942,934,926,917,909,903,897,891,885,880,876,872,867,864,855,852,848,846,843,838,831,827,821,814,804,790,781,772,764,756,748,742,738,735,732,727,724,722,719,714,713,710,705,702,699,698","761,740,727,717,706,695,686,679,671,663,657,653,649,642,638,629,625,620,617,611,606,598,594,588,580,574,563,556,549,541,533,527,522,519,515,512,506,503,502,499,496,495,493,489,486,484,482",
15,,,
16,,,
17,,,
18,"966,966,966,966,966,966,966,968,972,975,980,987,990,993,997,1003,1008,1012,1021,1024,1034,1040,1046,1051,1058,1062,1072,1083,1097,1110,1122,1129,1134,1136,1139,1141,1145,1147,1150,1151,1154,1156,1159,1163,1165,1172,1175,1181,1184,1187,1188,1189,1191,1192,1193,1196,1196,1198,1200,1202,1203,1205,1206,1208,1209,1211,1212,1214,1215","763,755,745,734,725,714,703,686,676,668,657,643,637,629,621,612,604,597,584,581,569,563,559,556,551,549,544,539,535,529,526,524,521,520,517,516,513,513,509,508,506,504,502,499,499,495,494,491,491,488,488,488,487,485,485,485,484,483,483,483,482,482,482,482,482,482,482,482,482",
19,,,
20,,,
21,,,
22,"957,958,960,960,962,964,966,970,975,979,988,998,1001,1017,1027,1036,1044,1051,1058,1063,1069,1077,1084,1091,1099,1103,1109,1113,1116,1120,1126,1131,1137,1143,1147,1149,1151,1158,1165,1169,1172,1177,1178,1181,1183,1186,1187,1187,1188,1192,1193,1194,1196,1197,1198,1200,1200,1201,1203,1204,1206,1207,1208,1209","765,759,753,749,742,736,726,717,707,696,683,672,668,650,638,627,615,603,591,583,574,562,552,544,536,530,526,523,521,519,518,518,516,515,513,512,511,508,504,504,501,499,499,497,497,494,493,492,491,488,487,486,484,483,481,481,480,479,478,477,476,475,475,475",
23,,,
24,,,
25,,,
26,,,
27,,,
